organization_code,organization_full_name
LKP_LKJS_LSSZP_LSJS_Ventspils_district_committee,"Latvijas Komunistiskās partijas, Latvijas Komunistiskās jaunatnes savienības, Latvijas Sociālistiskās strādnieku un zemnieku partijas un Latvijas Sociālistiskās jaunatnes savienības Ventspils rajona komitejas"
LKP_LKJS_Ventspils_district_committees,Latvijas Komunistiskās partijas un Latvijas Komunistiskās jaunatnes savienības Ventspils rajona komitejas
LKP_LSSZP_LDJS_Ventspils_regional_org,"Latvijas Komunistiskās partijas Ventspils apgabala organizācija, Latvijas Sociālistiskās strādnieku un zemnieku partijas Ventspils apgabala organizācija un Latvijas Darba jaunatnes savienības Ventspils apgabala organizācija"
LKP_LSSZP_LKJS_LSJS_VEF_unit_committee,"Latvijas Komunistiskās partijas, Latvijas Sociālistiskās strādnieku un zemnieku partijas, Latvijas Komunistiskās jaunatnes savienības un Latvijas Sociālistiskās jaunatnes savienības VEFa vienības komiteja"
LKP_LSSZP_Liepaja_org_committee,Latvijas Komunistiskās partijas Liepājas organizācijas komiteja un Latvijas Sociālistiskās strādnieku un zemnieku partijas Liepājas organizācijas komiteja
LKP_Latgale_org,Latvijas Komunistiskās partijas Latgales organizācija
LKP_Latgale_org_LDJS_Latgale_org,Latvijas Komunistiskās partijas Latgales organizācija un Latvijas Darba jaunatnes savienības Latgales organizācija
LKP_Latgale_regional_committee,Latvijas Komunistiskās partijas Latgales apgabala komiteja
LKP_Latgale_regional_committee_LDJS_Latgale_regional_committee,Latvijas Komunistiskās partijas Latgales apgabala komiteja un Latvijas Darba jaunatnes savienības Latgales apgabala komiteja
LKP_Latgale_regional_committee_LDJS_Latgale_regional_committee_Stalin_district_committee,"Latvijas Komunistiskās partijas Latgales apgabala komiteja, Latvijas Darba jaunatnes savienības Latgales apgabala komiteja un Staļina rajona komiteja"
LKP_Latgale_regional_committee_LKJS_Latgale_regional_committee,Latvijas Komunistiskās partijas Latgales apgabala komiteja un Latvijas Komunistiskās jaunatnes savienības Latgales apgabala komiteja
LKP_Lavke_committee,Latvijas Komunistiskās partijas Lavkes komiteja
LKP_Liepaja_city_committee,Latvijas Komunistiskās partijas Liepājas pilsētas komiteja
LKP_Liepaja_org_transport_workers_district,Latvijas Komunistiskās partijas Liepājas organizācijas transportstrādnieku rajons
LKP_Maliena_regional_committee,Latvijas Komunistiskās partijas Malienas apgabala komiteja
LKP_Presidium_LSSZP_CK,Latvijas Komunistiskās partijas prezidijs un Latvijas Sociālistiskās strādnieku un zemnieku partijas Centrālā komiteja
LKP_Riga_committee,Latvijas Komunistiskās partijas Rīgas komiteja
LKP_Riga_committee_LKJS_Riga_committee,Latvijas Komunistiskās partijas Rīgas komiteja un Latvijas Komunistiskās jaunatnes savienības Rīgas komiteja
LKP_Riga_committee_LKP_Riga_North_district_united_antifascist_struggle_committee,Latvijas Komunistiskās partijas Rīgas komiteja un Latvijas Komunistiskās partijas Rīgas organizācijas Ziemeļu rajona vienota pretfašisma cīņas komiteja
LKP_Riga_committee_LKP_Riga_org_North_district_committee,Latvijas Komunistiskās partijas Rīgas komiteja un Latvijas Komunistiskās partijas Rīgas organizācijas Ziemeļu rajona komiteja
LKP_Riga_committee_LSSZP_Riga_committee,Latvijas Komunistiskās partijas Rīgas komiteja un Latvijas Sociālistiskās strādnieku un zemnieku partijas Rīgas komiteja
LKP_Riga_committee_Left_trade_union_AllLatvia_center,Latvijas Komunistiskās partijas Rīgas komitejas un kreiso arodnieku Vislatvijas centrs
LKP_Riga_committee_Shoemakers_faction,Latvijas Komunistiskās partijas Rīgas komitejas apavnieku frakcija
LKP_Riga_committee_textile_workers_faction,Latvijas Komunistiskās partijas Rīgas komitejas tekstilstrādnieku frakcija
LKP_Riga_committee_textile_workers_section,Latvijas Komunistiskās partijas Rīgas komitejas tekstilstrādnieku sekcija
LKP_Riga_garrison_soldiers_org,Latvijas Komunistiskās partijas Rīgas garnizona kareivju organizācija
LKP_Riga_org_B_district_committee,Latvijas Komunistiskās partijas Rīgas organizācijas B rajona komiteja
LKP_Riga_org_Kirov_district_committee,Latvijas Komunistiskās partijas Rīgas organizācijas Kirova rajona komiteja
LKP_Riga_org_North_district_committee,Latvijas Komunistiskās partijas Rīgas organizācijas Ziemeļu rajona komiteja
LKP_Riga_org_West_district_committee,Latvijas Komunistiskās partijas Rīgas organizācijas Rietumu rajona komiteja
LKP_Riga_org_X_district_committee,Latvijas Komunistiskās partijas Rīgas organizācijas X rajona komiteja
LKP_Riga_org_students_faction,Latvijas Komunistiskās partijas Rīgas organizācijas studentu frakcija
LKP_Rujiena_district_committee,Latvijas Komunistiskās partijas Rūjienas rajona komiteja
LKP_Secretariat,Latvijas Komunistiskās partijas sekretariāts
LKP_Secretariat_LSSZP_CK,Latvijas Komunistiskās partijas sekretariāts un Latvijas Sociālistiskās strādnieku un zemnieku partijas Centrālā komiteja
LKP_Secretariat_LSSZP_CK_LDJS_CK,"Latvijas Komunistiskās partijas sekretariāts, Latvijas Sociālistiskās strādnieku un zemnieku partijas Centrālā komiteja un Latvijas Darba jaunatnes savienības Centrālā komiteja"
LKP_United_antifascist_committee,Latvijas Komunistiskā partija un Vienotās pretfašisma cīņas komiteja
LKP_Ventspils_district_committee_LKJS_Ventspils_district_committee,Latvijas Komunistiskās partijas Ventspils rajona komiteja un Latvijas Komunistiskās jaunatnes savienības Ventspils rajona komiteja
LKP_Ventspils_district_committee_unemployed_committee,Latvijas Komunistiskās partijas Ventspils rajona komiteja un bezdarbnieku komiteja
LKP_Vidienas_org_LKJS_Vidienas_org,Latvijas Komunistiskās partijas Vidienas organizācija un Latvijas Komunistiskās jaunatnes savienības Vidienas organizācija
LKP_Zemgale_org_Jelgava_district_committee,Latvijas Komunistiskās partijas Zemgales apgabala Jelgavas rajona komiteja
LKP_Zemgales_org_Jelgava_district_committee_LKJS_Zemgales_org_Jelgava_district_committee,Latvijas Komunistiskās partijas Zemgales apgabala organizācijas Jelgavas rajona komiteja un Latvijas Komunistiskās jaunatnes savienības Zemgales apgabala organizācijas Jelgavas rajona komiteja
