organisation_affiliation
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Other 
Other 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Mixed 
Communist 
Mixed 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Mixed 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Mixed 
Mixed 
Communist 
Mixed 
Mixed 
Communist 
Communist 
Communist 
Communist 
Communist 
Mixed 
Communist 
Mixed 
Communist 
Communist 
Communist 
Mixed 
Mixed 
Communist 
Communist 
Communist 
Mixed 
Communist 
Communist 
Communist 
Mixed 
Communist 
Mixed 
Communist 
Communist 
Mixed 
Mixed 
Mixed 
Communist 
Communist 
Communist 
Communist 
Communist 
Mixed 
Communist 
Communist 
Mixed 
Communist 
Communist 
Communist 
Communist 
Mixed 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Mixed 
Communist 
Mixed 
Communist 
Communist 
Mixed 
Mixed 
Communist 
Communist 
Communist 
Communist 
Mixed 
Mixed 
Mixed 
Mixed 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Mixed 
Mixed 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Mixed 
Communist 
Communist 
Mixed 
Communist 
Mixed 
Communist 
Communist 
Communist 
Mixed 
Mixed 
Communist 
Mixed 
Communist 
Communist 
Communist 
Communist 
Mixed 
Mixed 
Communist 
Mixed 
Mixed 
Other 
Mixed 
Mixed 
Mixed 
Mixed 
Mixed 
Communist 
Mixed 
Mixed 
Communist 
Mixed 
Mixed 
Communist 
Communist 
Communist 
Other 
Mixed 
Mixed 
Mixed 
Mixed 
Mixed 
Mixed 
Mixed 
Mixed 
Mixed 
Communist 
Mixed 
Mixed 
Communist 
Mixed 
Communist 
Mixed 
Mixed 
Mixed 
Communist 
Other 
Mixed 
Mixed 
Mixed 
Mixed 
Mixed 
Mixed 
Mixed 
Mixed 
Mixed 
Mixed 
Mixed 
Mixed 
Communist 
Mixed 
Mixed 
Mixed 
Communist 
Communist 
Mixed 
Communist 
Communist 
Communist 
Communist 
Mixed 
Communist 
Communist 
Communist 
Other 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Socialist 
Communist 
Communist 
Mixed 
Communist 
Communist 
Communist 
Communist 
Communist 
Mixed 
Communist 
Communist 
Communist 
Communist 
Communist 
Other 
Communist 
Communist 
Other 
Communist 
Communist 
Socialist 
Socialist 
Socialist 
Socialist 
Other 
Communist 
Socialist 
Communist 
Mixed 
Communist 
Mixed 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Other 
Other 
Socialist 
Socialist 
Other 
Other 
Communist 
Mixed 
Socialist 
Other 
Other 
Other 
Communist 
Communist 
Communist 
Socialist 
Socialist 
Other 
Communist 
Socialist 
Communist 
Communist 
Communist 
Other 
Communist 
Communist 
Communist 
Other 
Mixed 
Communist 
Communist 
Communist 
Communist 
Communist 
Socialist 
Communist 
Communist 
Communist 
Communist 
Communist 
Socialist 
Mixed 
Socialist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Socialist 
Other 
Other 
Socialist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Communist 
Socialist 
Socialist 
Communist 
Socialist 
Communist 
Other 
Communist 
Communist 
Communist 
Communist 
Communist 
Other 
Communist 
Communist 
Communist 
Mixed 
Socialist 
Mixed 
Socialist 
Mixed 
Mixed 
Mixed 
Other 
Mixed 
Mixed 
Socialist 
Communist 
Mixed 
Other 
Socialist 
Other 
Communist 
Communist 
Other 
Communist 
Communist 
Socialist 
Mixed 
Socialist 
Mixed 
Communist 
Other 
Communist 
